	description	link	title	link_class	type
16	Severe Wind Risk - Brgy. Building Damaged Floor Area Equivalent 1% AEP (1/100)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Brgy.%20Building%20Damaged%20Floor%20Area%20Equivalent%201%25%20AEP%20%281/100%29%22%2C%22geoportal%3Asw_bgy_dmg_webmercator%22%2C1%2C%22SevereWindRiskBrgyBuildingDamagedFloorAreaEquivalent1AEP1100%22%2C0%2Cnull%5D%5D%7D	Severe Wind Risk - Brgy. Building Damaged Floor Area Equivalent 1% AEP (1/100)	<type 'unicode'>	%20Building%20Damaged%20Floor%20Area%20Equivalent%201%25%20AEP%20%281/100%29%22%2C%22geoportal%3Asw_bgy_dmg_webmercator%22%2C1%2C%22SevereWindRiskBrgyBuildingDamagedFloorAreaEquivalent1AEP1100%22%2C0%2Cnull%5D%5D%7D
17	Severe Wind Risk - Brgy. Building Damaged Floor Area Equivalent 0.5% AEP (1/200)   is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph)....	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Brgy.%20Building%20Damaged%20Floor%20Area%20Equivalent%200.5%25%20AEP%20%281/200%29%22%2C%22geoportal%3Asw_bgy_dmg_webmercator%22%2C1%2C%22SevereWindRiskBrgyBuildingDamagedFloorAreaEquivalent05AEP1200%22%2C0%2Cnull%5D%5D%7D	Severe Wind Risk - Brgy. Building Damaged Floor Area Equivalent 0.5% AEP (1/200)	<type 'unicode'>	5%25%20AEP%20%281/200%29%22%2C%22geoportal%3Asw_bgy_dmg_webmercator%22%2C1%2C%22SevereWindRiskBrgyBuildingDamagedFloorAreaEquivalent05AEP1200%22%2C0%2Cnull%5D%5D%7D
18	Severe Wind Risk - Brgy. Building Damaged Floor Area Equivalent 0.2% AEP (1/500)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph)....	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Brgy.%20Building%20Damaged%20Floor%20Area%20Equivalent%200.2%25%20AEP%20%281/500%29%22%2C%22geoportal%3Asw_bgy_dmg_webmercator%22%2C1%2C%22SevereWindRiskBrgyBuildingDamagedFloorAreaEquivalent02AEP1500%22%2C0%2Cnull%5D%5D%7D	Severe Wind Risk - Brgy. Building Damaged Floor Area Equivalent 0.2% AEP (1/500)	<type 'unicode'>	2%25%20AEP%20%281/500%29%22%2C%22geoportal%3Asw_bgy_dmg_webmercator%22%2C1%2C%22SevereWindRiskBrgyBuildingDamagedFloorAreaEquivalent02AEP1500%22%2C0%2Cnull%5D%5D%7D
19	Severe Wind Risk - Barangay Building Damage Cost 5% AEP (1/20)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Barangay%20Building%20Damage%20Cost%205%25%20AEP%20%281/20%29%22%2C%22geoportal%3Asw_bgy_cost_webmercator%22%2C1%2C%22SevereWindRiskBarangayBuildingDamageCos_5AEP120%22%2C0%2Cnull%5D%5D%7D	Severe Wind Risk - Barangay Building Damage Cost 5% AEP (1/20)	<type 'unicode'>	4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Barangay%20Building%20Damage%20Cost%205%25%20AEP%20%281/20%29%22%2C%22geoportal%3Asw_bgy_cost_webmercator%22%2C1%2C%22SevereWindRiskBarangayBuildingDamageCos_5AEP120%22%2C0%2Cnull%5D%5D%7D
20	Severe Wind Risk - Barangay Building Damage Cost 2% AEP (1/50)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Barangay%20Building%20Damage%20Cost%202%25%20AEP%20%281/50%29%22%2C%22geoportal%3Asw_bgy_cost_webmercator%22%2C1%2C%22SevereWindRiskBarangayBuildingDamageCost2AEP150%22%2C0%2Cnull%5D%5D%7D	Severe Wind Risk - Barangay Building Damage Cost 2% AEP (1/50)	<type 'unicode'>	4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Barangay%20Building%20Damage%20Cost%202%25%20AEP%20%281/50%29%22%2C%22geoportal%3Asw_bgy_cost_webmercator%22%2C1%2C%22SevereWindRiskBarangayBuildingDamageCost2AEP150%22%2C0%2Cnull%5D%5D%7D
21	Severe Wind Risk - Barangay Building Damage Cost 1% AEP (1/100)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Barangay%20Building%20Damage%20Cost%201%25%20AEP%20%281/100%29%22%2C%22geoportal%3Asw_bgy_cost_webmercator%22%2C1%2C%22SevereWindRiskBarangayBuildingDamageCost1AEP1100%22%2C0%2Cnull%5D%5D%7D	Severe Wind Risk - Barangay Building Damage Cost 1% AEP (1/100)	<type 'unicode'>	4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Barangay%20Building%20Damage%20Cost%201%25%20AEP%20%281/100%29%22%2C%22geoportal%3Asw_bgy_cost_webmercator%22%2C1%2C%22SevereWindRiskBarangayBuildingDamageCost1AEP1100%22%2C0%2Cnull%5D%5D%7D
22	Severe Wind Risk - Barangay Building Damage Cost 0.5% AEP (1/200)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Barangay%20Building%20Damage%20Cost%200.5%25%20AEP%20%281/200%29%22%2C%22geoportal%3Asw_bgy_cost_webmercator%22%2C1%2C%22SevereWindRiskBarangayBuildingDamageCost05AEP1200%22%2C0%2Cnull%5D%5D%7D	Severe Wind Risk - Barangay Building Damage Cost 0.5% AEP (1/200)	<type 'unicode'>	5%25%20AEP%20%281/200%29%22%2C%22geoportal%3Asw_bgy_cost_webmercator%22%2C1%2C%22SevereWindRiskBarangayBuildingDamageCost05AEP1200%22%2C0%2Cnull%5D%5D%7D
23	Severe Wind Risk - Barangay Building Damage Cost 0.2% AEP (1/500)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Severe%20Wind%20Risk%20-%20Barangay%20Building%20Damage%20Cost%200.2%25%20AEP%20%281/500%29%22%2C%22geoportal%3Asw_bgy_cost_webmercator%22%2C1%2C%22SevereWindRiskBarangayBuildingDamageCost02AEP1500%22%2C0%2Cnull%5D%5D%7D	Severe Wind Risk - Barangay Building Damage Cost 0.2% AEP (1/500)	<type 'unicode'>	2%25%20AEP%20%281/500%29%22%2C%22geoportal%3Asw_bgy_cost_webmercator%22%2C1%2C%22SevereWindRiskBarangayBuildingDamageCost02AEP1500%22%2C0%2Cnull%5D%5D%7D
24	This dataset contains NEDA Updates for the year 2012 as of May 23 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A43%3A48.779Z/23-may-2012.csv	23 May 2012 NEDA Updates	<type 'unicode'>	csv
25	This dataset contains NEDA Updates for the year 2012 as of February 22 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A41%3A35.270Z/22-february-2012.csv	22 February 2012 NEDA Updates	<type 'unicode'>	csv
26	This dataset contains NEDA Updates for the year 2012 as of August 22 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A39%3A09.240Z/22-august-2012.csv	22 August 2012 NEDA Updates	<type 'unicode'>	csv
27	This dataset contains NEDA Updates for the year 2012 as of November 21 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A36%3A16.387Z/21-november-2012.csv	21 November 2012 NEDA Updates	<type 'unicode'>	csv
28	This dataset contains NEDA Updates for the year 2012 as of March 21 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A33%3A45.181Z/21-march-2012.csv	21 March 2012 NEDA Updates	<type 'unicode'>	csv
29	This dataset contains NEDA Updates for the year 2012 as of June 20 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A31%3A26.456Z/20-june-2012.csv	20 June 2012 NEDA Updates	<type 'unicode'>	csv
30	This dataset contains NEDA Updates for the year 2012 as of	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A28%3A18.477Z/19-september-2012.csv	September 19 2012 NEDA Updates	<type 'unicode'>	csv
31	This dataset contains NEDA Updates for the year 2012 as of December 19 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A25%3A28.692Z/19-december-2012.csv	19 December NEDA Updates	<type 'unicode'>	csv
32	This dataset contains NEDA Updates for the year 2012 as of July 18 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A22%3A29.924Z/18-july-2012.csv	18 July 2012 NEDA Updates	<type 'unicode'>	csv
33	This dataset contains NEDA Updates for the year 2012 as of January 18 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A19%3A42.156Z/18-january-2012.csv	18 January 2012 NEDA Updates	<type 'unicode'>	csv
34	This dataset contains NEDA Updates for the year 2012 as of April 18 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A17%3A02.984Z/18-april-2012.csv	18 April 2012 NEDA Updates	<type 'unicode'>	csv
35	This dataset contains NEDA Updates for the year 2012 as of October 17 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A13%3A43.637Z/17-october-2012.csv	17 October 2012 NEDA Updates	<type 'unicode'>	csv
36	This dataset contains NEDA Updates for the year 2012 as of October 31 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T04%3A12%3A34.152Z/31-october-2012.csv	31 October 2012 Updates	<type 'unicode'>	csv
37	This dataset contains NEDA Updates for the year 2012 as of May 30 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T04%3A10%3A09.273Z/30-may-2012.csv	30 May 2012 NEDA Updates	<type 'unicode'>	csv
38	This dataset contains NEDA Updates for the year 2012 as of February 29 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T04%3A07%3A37.164Z/29-february-2012.csv	29 February 2012 NEDA Updates	<type 'unicode'>	csv
39	This dataset contains NEDA Updates for the year 2012 as of August 29 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T04%3A05%3A21.742Z/29-august-2012.csv	29 August 2012 NEDA Updates	<type 'unicode'>	csv
40	This dataset contains NEDA Updates for the year 2012 as of November 28 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T04%3A02%3A57.559Z/28-november-2012.csv	28 November 2012 NEDA Updates	<type 'unicode'>	csv
41	This dataset contains NEDA Updates for the year 2012 as of March 28 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T04%3A00%3A25.465Z/28-march-2012.csv	28 March 2012 NEDA Updates	<type 'unicode'>	csv
42	This dataset contains NEDA Updates for the year 2012 as of June 27 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A57%3A49.249Z/27-june-2012.csv	27 June 2012 NEDA Updates	<type 'unicode'>	csv
43	This dataset contains NEDA Updates for the year 2012 as of September 26 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A54%3A48.288Z/26-september-2012.csv	26 September 2012 NEDA Updates	<type 'unicode'>	csv
44	This dataset contains NEDA Updates for the year 2012 as of July 25 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A52%3A46.665Z/25-july-2012.csv	25 July 2012 NEDA Updates	<type 'unicode'>	csv
45	This dataset contains NEDA Updates for the year 2012 as of January 25 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A50%3A36.025Z/25-january-2012.csv	25 January 2012 NEDA Updates	<type 'unicode'>	csv
46	This dataset contains NEDA Updates for the year 2012 as of April 25 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A48%3A18.049Z/25-april-2012.csv	25 April 2012 NEDA Updates	<type 'unicode'>	csv
47	This dataset contains NEDA Updates for the year 2012 as of October 24 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A46%3A10.068Z/24-october-2012.csv	24 October 2012 NEDA Updates	<type 'unicode'>	csv
48	This dataset contains NEDA Updates for the year 2012 as of May 16 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A11%3A13.457Z/16-may-2012.csv	May 16 2012 NEDA Updates	<type 'unicode'>	csv
49	This dataset contains NEDA Updates for the year 2012 as of February 15 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A08%3A38.074Z/15-february-2012.csv	February 15 2012 NEDA Updates	<type 'unicode'>	csv
50	This dataset contains NEDA Updates for the year 2012 as of August 15 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A05%3A19.020Z/15-august-2012.csv	15 August 2012 NEDA Updates	<type 'unicode'>	csv
51	This dataset contains NEDA Updates for the year 2012 as of 14 November 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T03%3A02%3A40.231Z/14-november-2012.csv	14 November 2012 NEDA Updates	<type 'unicode'>	csv
52	This dataset contains NEDA Updates for the year 2012 as of March 14 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A59%3A49.187Z/14-march-2012.csv	14 March 2012 NEDA Updates	<type 'unicode'>	csv
53	This dataset contains NEDA Updates for the year 2012 as of June 13 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A57%3A05.219Z/13-june-2012.csv	13 June 2012 NEDA Updates	<type 'unicode'>	csv
54	This dataset contains NEDA Updates for the year 2012 as of September 12 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A54%3A20.371Z/12-september-2012.csv	12 September 2012 NEDA Updates	<type 'unicode'>	csv
55	This dataset contains NEDA Updates for the year 2012 as of December 12 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A51%3A23.981Z/12-december-2012.csv	12 December 2012 NEDA Updates	<type 'unicode'>	csv
56	This dataset contains NEDA Updates for the year 2012 as of July 11 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A48%3A07.238Z/11-july-2012.csv	11 July 2012 NEDA Updates	<type 'unicode'>	csv
57	This dataset contains NEDA Updates for the year 2012 as of January 11 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A45%3A41.292Z/11-january-2012.csv	11 January 2012 NEDA Updates	<type 'unicode'>	csv
58	This dataset contains NEDA Updates for the year 2012 as of October 10 2012.	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A42%3A47.435Z/10-october-2012.csv	10 October 2012 NEDA Updates	<type 'unicode'>	csv
59	This dataset contains NEDA Updates for the year 2012 as of April 10, 2012	http://data.insomnation.com/catalogue/storage/f/2014-01-07T02%3A38%3A58.055Z/10-april-2012.csv	10 April 2012 NEDA Updates	<type 'unicode'>	csv
60	This dataset contains NEDA Updates for July 21, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T03%3A06%3A21.152Z/21-july-2013-neda-updates.csv	21 July 2013 NEDA Updates	<type 'unicode'>	csv
61	Ground shaking risk M6.5 - Slight Damage State M6.5  (absolute)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M6.5%20-%20Slight%20Damage%20State%20M6.5%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22AbsoluteSlightDamageStateM65%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M6.5 - Slight Damage State M6.5  (absolute)	<type 'unicode'>	5%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22AbsoluteSlightDamageStateM65%22%2C0%2Cnull%5D%5D%7D
62	Ground shaking risk M6.5 - Serious But Non-Life Threatening M6.5  (normalized)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M6.5%20-%20Serious%20But%20Non-Life%20Threatening%20M6.5%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22NormalizeSeriesButNonLifeThreateningM65%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M6.5 - Serious But Non-Life Threatening M6.5  (normalized)	<type 'unicode'>	5%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22NormalizeSeriesButNonLifeThreateningM65%22%2C0%2Cnull%5D%5D%7D
63	This dataset contains the NEDA Updates for May 22, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T02%3A59%3A43.795Z/22-may-2013-neda-updates.csv	22 May 2013 NEDA Updates	<type 'unicode'>	csv
64	 Ground shaking risk M6.5 - Serious But Non-Life Threatening M6.5  (absolute)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M6.5%20-%20Serious%20But%20Non-Life%20Threatening%20M6.5%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22AbsoluteSeriousButNonLifeThreateningM65%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M6.5 - Serious But Non-Life Threatening M6.5  (absolute)	<type 'unicode'>	5%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22AbsoluteSeriousButNonLifeThreateningM65%22%2C0%2Cnull%5D%5D%7D
65	This dataset contains the NEDA Updates for January 23, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T02%3A53%3A36.385Z/23-january-neda-2013.csv	23 January NEDA 2013	<type 'unicode'>	csv
66	Ground shaking risk M6.5 - Number of Fatalities M6.5  (normalized)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M6.5%20-%20Number%20of%20Fatalities%20M6.5%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22NormalizeNumberofFatalitiesM65%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M6.5 - Number of Fatalities M6.5  (normalized)	<type 'unicode'>	5%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22NormalizeNumberofFatalitiesM65%22%2C0%2Cnull%5D%5D%7D
67	This dataset contains the NEDA Updates for January 30, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T02%3A33%3A18.673Z/30-january-2013-neda-updates.csv	30 January 2013 NEDA Updates	<type 'unicode'>	csv
68	Ground shaking risk M6.5 - Number of Fatalities M6.5  (absolute)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M6.5%20-%20Number%20of%20Fatalities%20M6.5%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22AbsoluteNumberofFatalitiesM65%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M6.5 - Number of Fatalities M6.5  (absolute)	<type 'unicode'>	5%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22AbsoluteNumberofFatalitiesM65%22%2C0%2Cnull%5D%5D%7D
